epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,33.1772,1.07751,0.59708,0.84251,0.97886,1,0.995,0.62813,1.50423,0.46166,1.01091,0.0419503,0.000950254,0.000950254
61,33.74,1.0488,0.46339,0.83706,0.97886,1,0.995,0.62813,1.50423,0.46166,1.01091,0.0409624,0.0009624,0.0009624
62,34.3587,1.12406,0.76377,0.80515,0.97886,1,0.995,0.62813,1.50423,0.46166,1.01091,0.0399744,0.000974414,0.000974414
63,34.9747,1.12164,0.82936,0.80828,0.97906,1,0.995,0.5572,1.59897,0.43063,1.01242,0.0389863,0.000986296,0.000986296
64,35.5904,1.44261,0.67105,0.78489,0.97906,1,0.995,0.5572,1.59897,0.43063,1.01242,0.037998,0.000998046,0.000998046
65,36.1553,1.22381,0.81212,0.76892,0.97906,1,0.995,0.5572,1.59897,0.43063,1.01242,0.0370097,0.00100966,0.00100966
66,36.7915,0.97043,0.68619,0.82825,0.97802,1,0.995,0.5555,1.53148,0.41815,1.00822,0.0360212,0.00102115,0.00102115
67,37.4424,1.08741,0.5148,0.86032,0.97802,1,0.995,0.5555,1.53148,0.41815,1.00822,0.0350325,0.0010325,0.0010325
68,38.1763,1.07888,0.68775,0.82322,0.97802,1,0.995,0.5555,1.53148,0.41815,1.00822,0.0340437,0.00104373,0.00104373
69,38.8246,0.95841,0.69391,0.86271,0.9764,1,0.995,0.62685,1.3928,0.40946,1.00228,0.0330548,0.00105482,0.00105482
70,39.4514,1.27722,1.00466,0.81983,0.9764,1,0.995,0.62685,1.3928,0.40946,1.00228,0.0320658,0.00106577,0.00106577
71,40.0431,1.63003,0.72488,0.86508,0.9764,1,0.995,0.62685,1.3928,0.40946,1.00228,0.0310766,0.0010766,0.0010766
72,40.6474,0.97816,0.65079,0.8251,0.9771,1,0.995,0.72408,1.2793,0.38464,0.99294,0.0300873,0.00108729,0.00108729
73,41.235,1.06843,0.68911,0.78245,0.9771,1,0.995,0.72408,1.2793,0.38464,0.99294,0.0290979,0.00109786,0.00109786
74,41.8281,0.93191,0.47576,0.81542,0.9771,1,0.995,0.72408,1.2793,0.38464,0.99294,0.0281083,0.00110829,0.00110829
75,42.4975,1.578,0.77896,0.82697,0.97845,1,0.995,0.796,0.98294,0.30764,0.97064,0.0271186,0.00111858,0.00111858
76,43.2413,1.01014,0.63749,0.76856,0.97845,1,0.995,0.796,0.98294,0.30764,0.97064,0.0261288,0.00112875,0.00112875
77,43.84,1.14958,0.6957,0.80472,0.97845,1,0.995,0.796,0.98294,0.30764,0.97064,0.0251388,0.00113878,0.00113878
78,44.5139,1.22709,0.55291,0.8133,0.97955,1,0.995,0.82439,0.75187,0.24776,0.94942,0.0241487,0.00114869,0.00114869
79,45.1987,0.80124,0.4626,0.83067,0.97955,1,0.995,0.82439,0.75187,0.24776,0.94942,0.0231585,0.00115846,0.00115846
80,45.7783,1.27199,0.50144,0.952,0.97955,1,0.995,0.82439,0.75187,0.24776,0.94942,0.0221681,0.00116809,0.00116809
81,46.3902,0.83853,0.63824,0.8015,0.9798,1,0.995,0.825,0.67102,0.21525,0.94299,0.0211776,0.0011776,0.0011776
82,46.943,1.55468,0.85611,0.83387,0.9798,1,0.995,0.825,0.67102,0.21525,0.94299,0.020187,0.00118697,0.00118697
