epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,250.81,0.52528,0.32854,0.83763,0.99569,0.98113,0.98653,0.86321,0.62164,0.37188,0.8179,0.00186294,0.00186294,0.00186294
123,252.649,0.54706,0.34702,0.82546,0.99599,0.98123,0.98324,0.85756,0.61685,0.37297,0.81726,0.00186189,0.00186189,0.00186189
124,254.503,0.52154,0.33454,0.801,0.99693,0.98148,0.98614,0.85542,0.62225,0.37366,0.81809,0.00186091,0.00186091,0.00186091
125,256.352,0.57996,0.33437,0.81299,0.99674,0.98148,0.98736,0.84682,0.62802,0.36208,0.81985,0.00185986,0.00185986,0.00185986
126,258.252,0.56191,0.34641,0.80227,0.99643,0.98148,0.9892,0.85324,0.61282,0.34767,0.81961,0.00185881,0.00185881,0.00185881
127,260.093,0.5373,0.34514,0.80853,0.99652,0.98148,0.99066,0.85902,0.60499,0.34179,0.81711,0.00185785,0.00185785,0.00185785
128,261.967,0.53039,0.32464,0.82483,0.99694,0.98148,0.99125,0.86168,0.61388,0.34845,0.81569,0.0018568,0.0018568,0.0018568
129,263.838,0.56952,0.32678,0.81505,0.99605,0.98148,0.99266,0.86412,0.61013,0.35038,0.81558,0.00185575,0.00185575,0.00185575
130,265.708,0.54589,0.34604,0.8078,0.99866,0.98777,0.995,0.88458,0.59228,0.3428,0.81532,0.00185471,0.00185471,0.00185471
131,267.572,0.52523,0.32931,0.79665,0.99869,0.98893,0.995,0.88546,0.59747,0.35054,0.81626,0.00185375,0.00185375,0.00185375
132,269.428,0.57003,0.3388,0.83462,0.99869,0.98942,0.995,0.88952,0.57961,0.34119,0.816,0.00185271,0.00185271,0.00185271
133,271.266,0.49983,0.32112,0.80085,0.99874,0.99005,0.995,0.87666,0.57089,0.33693,0.81585,0.00185167,0.00185167,0.00185167
134,273.193,0.5559,0.32453,0.81535,0.9987,0.98884,0.995,0.8869,0.56559,0.33194,0.81407,0.00185063,0.00185063,0.00185063
135,275.04,0.54895,0.36944,0.80415,0.99867,0.98775,0.995,0.8867,0.59127,0.32711,0.81524,0.00184959,0.00184959,0.00184959
136,276.923,0.55341,0.34374,0.80521,0.99859,0.98829,0.995,0.88404,0.59717,0.33283,0.81722,0.00184856,0.00184856,0.00184856
137,278.748,0.53129,0.33907,0.81936,0.99323,0.98022,0.99306,0.89116,0.58396,0.34672,0.81602,0.00184761,0.00184761,0.00184761
138,280.616,0.54059,0.35941,0.80739,0.99409,0.98015,0.98602,0.88374,0.58537,0.3561,0.81445,0.00184657,0.00184657,0.00184657
139,282.496,0.56931,0.37901,0.81388,0.99562,0.98073,0.99157,0.88751,0.58739,0.35147,0.81423,0.00184554,0.00184554,0.00184554
140,284.342,0.52478,0.34963,0.82613,0.99849,0.98556,0.995,0.88462,0.59381,0.3285,0.81533,0.00184451,0.00184451,0.00184451
141,286.194,0.56599,0.35638,0.79993,0.98577,0.99861,0.995,0.86837,0.61044,0.32385,0.81685,0.00184348,0.00184348,0.00184348
142,288.086,0.50445,0.33293,0.80437,0.98855,0.99855,0.995,0.88118,0.59642,0.3242,0.81552,0.00184245,0.00184245,0.00184245
143,289.924,0.52245,0.32913,0.81993,0.98992,0.9987,0.995,0.87923,0.60633,0.32214,0.8153,0.00184142,0.00184142,0.00184142
144,291.808,0.51494,0.35123,0.8386,0.99274,0.99987,0.995,0.86363,0.62434,0.3352,0.81543,0.00184039,0.00184039,0.00184039
145,293.66,0.53217,0.31958,0.81232,0.99304,1,0.995,0.8658,0.62096,0.33328,0.81591,0.00183937,0.00183937,0.00183937
146,295.515,0.53604,0.33799,0.82147,0.99277,1,0.995,0.86596,0.59843,0.33187,0.81629,0.00183834,0.00183834,0.00183834
147,297.374,0.57215,0.3307,0.82052,0.99548,1,0.995,0.86989,0.59566,0.34355,0.81715,0.00183732,0.00183732,0.00183732
148,299.257,0.5595,0.35572,0.79489,0.99738,1,0.995,0.8753,0.60294,0.35529,0.81832,0.0018363,0.0018363,0.0018363
149,301.133,0.54744,0.34537,0.81205,0.99811,1,0.995,0.88042,0.60325,0.34178,0.81971,0.00183528,0.00183528,0.00183528
